date,realgdp_monthly_yoy,cpi,CNYUSDSpot,trade balance,current consumption,proxy_fai,FR007,IP_yoy,M2_growth,US_IP_yoy,neer_yoy
2000-01-01,,-0.2000000000000028,8.279219047619048,127.40757724876192,2962.9,568.9524401405846,2.552,,,4.62096,-1.07455
2000-02-01,,0.7000000000000028,8.27786875,111.4839357430625,2804.9,568.9524401405846,2.5133333333333336,12.0,,4.31334,-0.34269
2000-03-01,,-0.2000000000000028,8.278560869565217,193.13079488291305,2626.6,1390.983289092387,2.4610869565217395,11.9,,4.44729,-3.20897
2000-04-01,,-0.2999999999999971,8.279285,177.14333348145,2571.5,1477.4059174479985,2.4250000000000003,11.4,,4.82803,-2.82634
2000-05-01,,0.0999999999999943,8.277527777777777,259.8106547991667,2636.9,1880.089851146603,2.394722222222222,11.5,,4.45147,-0.79692
2000-06-01,,0.5,8.2772,156.568866496,2645.2,2655.8336686199855,2.3740909090909095,12.2,,4.57429,-2.13165
2000-07-01,,0.5,8.279338095238096,164.5005955400476,2596.9,2009.9134203132635,2.3592857142857144,12.8,,3.76985,-1.57618
2000-08-01,,0.2999999999999971,8.279569565217392,210.4207067367391,2636.3,2003.2771345388956,2.3293478260869565,12.8,,3.07342,0.69577
2000-09-01,,0.0,8.278580952380953,186.951551072,2854.3,2526.918582043416,2.3104545454545455,12.0,,3.96881,1.95946
2000-10-01,,0.0,8.278335294117646,321.4951943318235,3029.3,2560.3793448812285,2.3058333333333336,11.4,,2.31422,3.96717
2000-11-01,,1.2999999999999972,8.2774,42.545835999999994,3107.8,2819.0516378160864,2.310227272727273,10.6,,1.84913,5.43732
2000-12-01,,1.5,8.277138095238096,47.33686999528572,3680.0,6506.67885944384,2.461190476190476,10.4,,0.73977,5.7687
2001-01-01,10.59980856892484,1.2000000000000028,8.277264705882354,114.3474320964706,3332.8,663.9674976440623,2.4865789473684208,,13.465745039613797,0.39765,5.43109
2001-02-01,8.813782963382376,0.0,8.277035,80.53612994244999,3047.1,663.9674976440623,2.5224,19.0,12.030236035511432,-0.56685,2.92289
2001-03-01,9.095953531706336,0.7999999999999972,8.277531818181817,195.88588664495452,2876.1,1582.8152876608383,2.496636363636364,12.1,13.162106316761157,-1.1223,5.95687
2001-04-01,8.34627391565208,1.5999999999999943,8.277104761904761,77.21719309485714,2820.9,1756.5823281981484,2.4213478260869565,11.5,12.751967078807303,-2.06022,7.65693
2001-05-01,9.019365827556536,1.7000000000000028,8.277183333333333,165.9360879285,2929.6,2255.0548999034418,2.385022222222222,10.2,12.061425234727817,-2.79118,5.28853
2001-06-01,8.42897304475776,1.4000000000000057,8.277038095238096,68.65761714809524,2908.7,3148.8870471168675,2.3544285714285715,10.1,16.748378603017745,-3.34222,7.41096
2001-07-01,8.715841960058412,1.5,8.276890909090909,159.9254239941818,2851.4,2422.4485776838446,2.304459090909091,8.1,18.13180749932397,-3.77351,7.58281
2001-08-01,6.991417520613541,1.0,8.27696956521739,114.10530918973912,2889.4,2434.657168101254,2.2988695652173914,8.1,17.33422646319791,-3.62153,4.28126
2001-09-01,8.293190942804184,-0.0999999999999943,8.276819999999999,177.02206034579996,3136.9,2898.9299068452347,2.2601363636363634,9.5,16.36248308473178,-4.55016,2.04109
2001-10-01,6.529121179341946,0.2000000000000028,8.276805555555555,321.8615446958333,3347.3,2885.226736942692,2.1840555555555556,8.8,16.966025346650348,-4.4405,2.11842
2001-11-01,8.354419516491607,-0.2999999999999971,8.276877272727273,261.1550113849091,3421.7,3084.487287808097,2.140090909090909,7.9,17.629981265564144,-5.04491,1.8492
2001-12-01,7.613258971537573,-0.2999999999999971,8.276838095238096,174.84605278400005,4033.3,6866.08816230694,2.140217391304348,8.7,17.60018887119006,-4.77478,2.87056
2002-01-01,8.868218525467796,-1.0,8.27667,226.1909624958,3596.1,826.6395345668576,2.13739,,16.064458964766292,-3.68262,3.25821
2002-02-01,9.147946242459092,0.0,8.276646666666666,266.4014194576,3324.4,826.6395345668576,2.07935294117647,2.7,18.152403744889224,-3.03997,4.57466
