date,cpi,gov_spend_current,proxy_fai,trade balance,current consumption,CNYUSDSpot,neer_yoy,realgdp,realgdpgrowth_quarterly,realgdp_monthly,realgdp_monthly_yoy
2000-01-01,-0.20000000000000284,748.85,568.9524401405846,127.40757724876191,2962.9,8.279219047619048,-1.07455,,,14089.122532824964,
2000-02-01,0.7000000000000028,748.85,568.9524401405846,111.4839357430625,2804.9,8.27786875,-0.34269,,,14189.401700352284,
2000-03-01,-0.20000000000000284,878.7,1390.983289092387,193.13079488291305,2626.6,8.278560869565217,-3.20897,42530.17337729259,8.8,14251.649144115338,
2000-04-01,-0.29999999999999716,1087.4,1477.4059174479985,177.14333348145001,2571.5,8.279285,-2.82634,,,15302.528978953718,
2000-05-01,0.09999999999999432,1022.0999999999995,1880.089851146603,259.8106547991667,2636.9,8.277527777777777,-0.79692,,,15581.564815807795,
2000-06-01,0.5,1352.4000000000005,2655.8336686199855,156.568866496,2645.2,8.2772,-2.13165,46388.81386301105,9.2,15504.720068249535,
2000-07-01,0.5,1043.3999999999996,2009.9134203132635,164.5005955400476,2596.9,8.279338095238096,-1.57618,,,16781.292145891202,
2000-08-01,0.29999999999999716,1292.8000000000002,2003.2771345388956,210.42070673673913,2636.3,8.279569565217392,0.69577,,,16852.98675573021,
2000-09-01,0.0,1278.2999999999993,2526.918582043416,186.951551072,2854.3,8.278580952380953,1.95946,50636.42111466913,8.9,17002.142213047708,
2000-10-01,0.0,1080.9000000000015,2560.3793448812285,321.4951943318235,3029.3,8.278335294117646,3.96717,,,18531.75911921799,
2000-11-01,1.2999999999999972,1375.5999999999985,2819.0516378160864,42.545835999999994,3107.8,8.2774,5.43732,,,18475.464280648335,
2000-12-01,1.5,1485.9300000000003,6506.67885944384,47.33686999528572,3680.0,8.277138095238096,5.7687,56487.31535905443,7.6,19480.09195918811,
2001-01-01,1.2000000000000028,889.05,663.9674976440623,114.34743209647061,3332.8,8.277264705882354,5.43109,,,15582.542550345666,10.59980856892484
2001-02-01,0.0,889.05,663.9674976440623,80.53612994244999,3047.1,8.277035,2.92289,,,15440.024770023823,8.813782963382376
2001-03-01,0.7999999999999972,1054.9,1582.8152876608385,195.88588664495452,2876.1,8.277531818181817,5.95687,46570.539848135384,9.5,15547.972527765893,9.095953531706336
2001-04-01,1.5999999999999943,1181.3000000000002,1756.5823281981484,77.21719309485714,2820.9,8.277104761904761,7.65693,,,16579.719963559233,8.34627391565208
2001-05-01,1.7000000000000028,1309.8999999999996,2255.0548999034418,165.9360879285,2929.6,8.277183333333333,5.28853,,,16986.923148203336,9.019365827556536
2001-06-01,1.4000000000000057,1720.5,3148.8870471168675,68.65761714809524,2908.7,8.277038095238096,7.41096,50378.25185523,8.6,16811.608743467434,8.42897304475776
2001-07-01,1.5,1363.8000000000002,2422.4485776838446,159.9254239941818,2851.4,8.276890909090909,7.58281,,,18243.923048182776,8.715841960058412
2001-08-01,1.0,1467.2000000000007,2434.657168101254,114.10530918973912,2889.4,8.27696956521739,4.28126,,,18031.249424517013,6.991417520613541
2001-09-01,-0.09999999999999432,1603.8999999999996,2898.9299068452347,177.02206034579996,3136.9,8.276819999999999,2.04109,54687.33480384266,8.0,18412.162331142867,8.293190942804184
2001-10-01,0.20000000000000284,1223.5,2885.226736942692,321.8615446958333,3347.3,8.276805555555555,2.11842,,,19741.720128775483,6.529121179341946
