date,realgdp_monthly_yoy,cpi,CNYUSDSpot,trade balance,current consumption,proxy_fai,FR007,IP_yoy,M2_growth,US_IP_yoy,neer_yoy
2000-01-01,,-0.20000000000000284,8.279219047619048,105.48352403689448,2962.9,568.9524401405846,2.552,10.4,,4.62096,-1.07455
2000-02-01,,0.7000000000000028,8.27786875,92.2849387814505,2804.9,568.9524401405846,2.5133333333333336,12.0,,4.31334,-0.34269
2000-03-01,,-0.20000000000000284,8.278560869565217,159.884504122571,2626.6,1390.983289092387,2.4610869565217395,11.9,,4.44729,-3.20897
2000-04-01,,-0.29999999999999716,8.279285,146.6620143742967,2571.5,1477.4059174479985,2.4250000000000003,11.4,,4.82803,-2.82634
2000-05-01,,0.09999999999999432,8.277527777777777,215.05899120627353,2636.9,1880.089851146603,2.394722222222222,11.5,,4.45147,-0.79692
2000-06-01,,0.5,8.2772,129.59518217606913,2645.2,2655.8336686199855,2.3740909090909095,12.2,,4.57429,-2.13165
2000-07-01,,0.5,8.279338095238096,136.19560473440703,2596.9,2009.9134203132635,2.3592857142857144,12.8,,3.76985,-1.57618
2000-08-01,,0.29999999999999716,8.279569565217392,174.21928793890393,2636.3,2003.2771345388956,2.3293478260869565,12.8,,3.07342,0.69577
2000-09-01,,0.0,8.278580952380953,154.76935497227342,2854.3,2526.918582043416,2.3104545454545455,12.0,,3.96881,1.95946
2000-10-01,,0.0,8.278335294117646,266.14450141263455,3029.3,2560.3793448812285,2.3058333333333336,11.4,,2.31422,3.96717
2000-11-01,,1.2999999999999972,8.2774,35.216890290639995,3107.8,2819.0516378160864,2.310227272727273,10.6,,1.84913,5.43732
2000-12-01,,1.5,8.277138095238096,39.181380994731256,3680.0,6506.67885944384,2.461190476190476,10.4,,0.73977,5.7687
2001-01-01,10.603314056718215,1.2000000000000028,8.277264705882354,94.64839639003954,3332.8,663.9674976440623,2.4865789473684208,10.2,16323.23000000001,0.39765,5.43109
2001-02-01,8.804127867258305,0.0,8.277035,66.66003662982065,3047.1,663.9674976440623,2.5224,19.0,14626.770000000019,-0.56685,2.92289
2001-03-01,9.102467599358777,0.7999999999999972,8.277531818181817,162.14516594363678,2876.1,1582.8152876608385,2.4966363636363638,12.1,16137.639999999985,-1.1223,5.95687
2001-04-01,8.32689227216572,1.5999999999999943,8.277104761904761,63.91347966663614,2820.9,1756.5823281981484,2.4213478260869565,11.5,15827.98000000001,-2.06022,7.65693
2001-05-01,8.910538197107808,1.7000000000000028,8.277183333333333,137.3483421400315,2929.6,2255.0548999034418,2.385022222222222,10.2,14962.589999999997,-2.79118,5.28853
2001-06-01,8.556918655039292,1.4000000000000057,8.277038095238096,56.82817126630566,2908.7,3148.8870471168675,2.3544285714285715,10.1,21204.34000000001,-3.34222,7.41096
2001-07-01,8.131211023750296,1.5,8.276890909090909,132.36852879899527,2851.4,2422.4485776838446,2.304459090909091,8.1,22904.810000000012,-3.77351,7.58281
2001-08-01,6.788450842168614,1.0,8.27696956521739,94.44461713931909,2889.4,2434.657168101254,2.2988695652173914,8.1,22151.460000000006,-3.62153,4.28126
