数据库：年度数据
时间：2000-
指标,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年
财政收入(亿元),,219734.30,216795.43,203649.29,202554.64,182913.88,190390.08,183359.84,172592.77,159604.97,152269.23,140370.03,129209.64,117253.52,103874.43,83101.51,68518.30,61330.35,51321.78,38760.20,31649.29,26396.47,21715.25,18903.64,16386.04,13395.23
财政支出(亿元),,284605.57,274622.94,260552.12,245673.00,245679.03,238858.37,220904.13,203085.49,187755.21,175877.77,151785.56,140212.10,125952.97,109247.79,89874.16,76299.93,62592.66,49781.35,40422.73,33930.28,28486.89,24649.95,22053.15,18902.58,15886.50
财政收入增长速度(%),,1.4,6.5,0.5,10.7,-3.9,3.8,6.2,7.4,4.5,5.8,8.6,10.2,12.9,25.0,21.3,11.7,19.5,32.4,22.5,19.9,21.6,14.9,15.4,22.3,17.0
财政支出增长速度(%),,3.6,5.4,6.1,0.0,2.9,8.1,8.7,7.6,6.3,13.2,8.3,11.3,15.3,21.6,17.8,21.9,25.7,23.2,19.1,19.1,15.6,11.8,16.7,19.0,20.5
注：1.财政收入中不包括国内外债务收入。
　　　2.从2000年起，财政支出中包括国内外债务付息支出。
　　　3.与以往年份相比，2007年财政收支科目实施了较大改革，特别是财政支出项目口径变化很大，与往年数据不可比。2007年起财政支出采用新的分类指标。
数据来源：国家统计局
