timeQtr,NGDP_exp_Q_SA
2000.0,2444.0004694877343
2000.25,2473.9760039940415
2000.5,2503.9028138318868
2000.75,2557.4062526270723
2001.0,2634.372834516122
2001.25,2689.443930625841
2001.5,2747.5706711455146
2001.75,2811.3895761004624
2002.0,2898.6935546461955
2002.25,2993.9457874402992
2002.5,3080.4927363465363
2002.75,3159.818213492886
2003.0,3284.8759224707946
2003.25,3359.497718540606
2003.5,3474.7449435016238
2003.75,3597.134895242319
2004.0,3788.500622240031
2004.25,3935.190497794063
2004.5,4108.821454402506
2004.75,4304.265928292196
2005.0,4431.463572311381
2005.25,4595.317211412349
2005.5,4768.743783319009
2005.75,4970.816002119094
2006.0,5190.6641503654955
2006.25,5409.844145122492
2006.5,5636.748912656619
2006.75,5927.952304342775
2007.0,6304.6319491298755
2007.25,6590.195401232958
2007.5,6909.803852194948
2007.75,7245.362062500162
2008.0,7645.108551448537
2008.25,7948.8648277431175
2008.5,8145.506891875862
2008.75,8067.275643892472
2009.0,8032.613689064113
2009.25,8323.993089683549
2009.5,8698.298259204532
2009.75,9186.56327765242
2010.0,9609.806575469582
2010.25,10026.162878194493
2010.5,10363.538304137988
2010.75,10849.761914251345
2011.0,11480.940851245701
2011.25,12049.52302296996
2011.5,12472.095976507677
2011.75,12621.36667626353
2012.0,13025.868077533663
2012.25,13383.37603691869
2012.5,13568.04315381477
2012.75,13927.119466649998
2013.0,14420.799913296925
2013.25,14649.868033175813
2013.5,15043.34363891003
2013.75,15522.01921059695
2014.0,15636.008275524908
2014.25,16057.616607418217
2014.5,16488.646761619868
2014.75,16720.1929740731
2015.0,16816.850435059252
2015.25,17237.644296477414
2015.5,17483.032529522796
2015.75,17673.161021671232
2016.0,17959.273668669306
2016.25,18395.959840055802
2016.5,18860.147881200377
2016.75,19431.315196739815
2017.0,20091.528055639108
2017.25,20465.555942396986
2017.5,20911.599239120802
2017.75,21428.872960203073
2018.0,22164.136004438944
2018.25,22545.5026504637
2018.5,23136.17095424474
2018.75,23736.291642486987
2019.0,24102.92446267571
2019.25,24526.701462385776
2019.5,24966.117270326224
2019.75,25478.563823171735
2020.0,23893.07073907814
2020.25,25299.543731900278
2020.5,26338.022851139867
2020.75,27035.036313682383
2021.0,27692.4649837617
2021.25,28372.316933382073
2021.5,28768.654413947243
2021.75,29698.74253580611
2022.0,29865.07474130915
2022.25,29815.61294837227
2022.5,30342.380675303888
2022.75,30226.716861789442
2023.0,31175.558621781383
2023.25,31193.856984461083
2023.5,31530.700693972223
2023.75,31966.34902832442
